Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,145.139999,151.649994,145.020004,150.240005,150.240005,59396600
2022-01-04,151.009995,152.419998,140.699997,144.419998,144.419998,80200500
2022-01-05,142.820007,143.759995,135.289993,136.149994,136.149994,65403200
2022-01-06,136.190002,138.0,131.770004,136.229996,136.229996,64802900
2022-01-07,136.279999,137.440002,131.130005,132.0,132.0,58441100
2022-01-10,129.080002,132.419998,125.029999,132.0,132.0,84671300
2022-01-11,133.449997,138.990005,131.589996,137.309998,137.309998,77153900
2022-01-12,138.589996,140.570007,135.770004,137.470001,137.470001,69669600
2022-01-13,139.440002,141.25,131.809998,132.740005,132.740005,76618100
2022-01-14,131.679993,137.0,131.429993,136.880005,136.880005,71078400
2022-01-18,134.5,136.389999,131.589996,131.929993,131.929993,56527400
2022-01-19,133.550003,134.570007,128.020004,128.270004,128.270004,69831800
2022-01-20,126.040001,128.509995,121.410004,121.889999,121.889999,91157300
2022-01-21,120.139999,125.019997,118.389999,118.809998,118.809998,95685300
2022-01-24,115.400002,116.769997,107.5,116.529999,116.529999,116210100
2022-01-25,114.099998,114.82,109.860001,111.129997,111.129997,85102900
2022-01-26,114.550003,117.160004,108.629997,110.709999,110.709999,94752600
2022-01-27,111.959999,112.75,101.940002,102.599998,102.599998,125954100
2022-01-28,101.550003,105.400002,99.349998,105.239998,105.239998,98749500
2022-01-31,107.93,114.309998,106.900002,114.25,114.25,97206000
2022-02-01,116.75,117.260002,112.730003,116.779999,116.779999,122467900
2022-02-02,129.889999,130.059998,120.639999,122.760002,122.760002,180065000
2022-02-03,120.32,125.370003,118.82,120.080002,120.080002,103599500
2022-02-04,120.339996,124.959999,118.580002,123.599998,123.599998,86212000
2022-02-07,123.559998,127.629997,122.790001,123.669998,123.669998,81672500
2022-02-08,122.379997,128.710007,122.050003,128.229996,128.229996,84902800
2022-02-09,129.600006,132.960007,127.650002,132.850006,132.850006,92948900
2022-02-10,128.839996,131.759995,124.610001,125.769997,125.769997,108939900
2022-02-11,126.139999,127.169998,111.809998,113.18,113.18,164723200
2022-02-14,115.510002,118.370003,113.459999,114.269997,114.269997,135146400
2022-02-15,117.190002,121.879997,114.360001,121.470001,121.470001,143975900
2022-02-16,119.050003,119.540001,114.220001,117.690002,117.690002,119109600
2022-02-17,116.260002,116.980003,112.260002,112.370003,112.370003,98179600
2022-02-18,113.900002,115.639999,109.889999,113.830002,113.830002,114321200
2022-02-22,115.269997,119.199997,113.610001,115.650002,115.650002,141648500
2022-02-23,117.400002,118.650002,109.040001,109.760002,109.760002,120299400
2022-02-24,104.559998,116.959999,104.260002,116.610001,116.610001,142956600
